congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,1,2019-01-03,1,2,220,210,-0.107,0.471,0.706,-0.198,-27.993,,Pelosi,,Election of the Speaker,
116,House,2,2019-01-03,1,3,230,197,0.068,0.046,0.714,-0.082,-0.389,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",On Motion to Table the Motion to Refer,
116,House,3,2019-01-03,1,4,233,197,0.068,0.046,0.714,-0.082,-0.388,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Ordering the Previous Question,
116,House,4,2019-01-03,1,5,197,232,0.067,0.038,-0.714,0.074,-0.384,HRES5,Failed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Motion to Commit with Instructions,
116,House,5,2019-01-03,1,6,234,194,0.068,0.046,0.714,-0.082,-0.389,HRES5,Passed,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Agreeing to the Resolution,
116,House,6,2019-01-03,1,7,234,197,0.191,0.982,0.341,-0.195,-21.232,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title I of the Resolution,
116,House,7,2019-01-03,1,8,197,233,0.068,0.046,-0.714,0.082,-0.389,HJRES1,Failed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,8,2019-01-03,1,9,239,192,0.219,-0.062,0.677,0.502,-7.204,HJRES1,Passed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Passage,
116,House,9,2019-01-03,1,10,199,232,0.14,-0.979,-0.665,-0.408,-8.71,HR21,Failed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,10,2019-01-03,1,11,241,190,0.209,0.1,0.682,0.87,-13.022,HR21,Passed,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,11,2019-01-04,1,12,418,12,0.751,-0.661,0.38,-0.065,-32.864,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title II of the Resolution,
116,House,12,2019-01-08,1,13,401,17,0.881,0.473,1.287,-1.084,-38.056,HR269,Passed,Pandemic and All-Hazards Preparedness and Advancing Innovation Act,On Motion to Suspend the Rules and Pass,
116,House,13,2019-01-08,1,14,414,3,0.0,0.0,0.0,0.0,0.0,HR251,Passed,Chemical Facility Anti-Terrorism Standards Program Extension Act,On Motion to Suspend the Rules and Pass,
116,House,14,2019-01-08,1,15,235,161,-0.389,0.921,0.111,0.324,-175.912,,Passed,,On Approving the Journal,
116,House,15,2019-01-09,1,16,231,195,0.068,0.044,0.714,-0.084,-0.388,HRES28,Passed,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,
116,House,16,2019-01-09,1,17,231,195,0.068,0.044,0.714,-0.084,-0.388,HRES28,Passed,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,17,2019-01-09,1,18,414,11,0.449,-0.893,0.608,-2.397,-27.53,HR226,Passed,Clarity on Small Business Participation in Category Management Act,On Motion to Suspend the Rules and Pass,
116,House,18,2019-01-09,1,19,235,192,0.134,0.381,0.718,0.453,-6.491,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title III of the Resolution,
116,House,19,2019-01-09,1,20,200,227,-0.098,0.995,-0.327,-0.145,-30.717,HR264,Failed,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,20,2019-01-09,1,21,240,188,0.221,0.079,0.827,1.016,-16.277,HR264,Passed,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,21,2019-01-10,1,22,193,228,-0.138,0.704,-0.597,-0.937,-16.661,HR267,Failed,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,22,2019-01-10,1,23,244,180,0.297,-0.08,0.642,0.763,-16.508,HR267,Passed,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,23,2019-01-10,1,24,197,229,-0.199,0.98,-0.625,-0.729,-16.845,HR265,Failed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,24,2019-01-10,1,25,243,183,0.281,-0.07,0.632,0.82,-14.989,HR265,Passed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,25,2019-01-11,1,26,190,229,-0.022,0.361,-0.562,-1.074,-18.84,HR266,Failed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,26,2019-01-11,1,27,240,179,0.281,-0.066,0.631,0.825,-14.961,HR266,Passed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,27,2019-01-11,1,28,411,7,0.0,0.0,0.0,0.0,0.0,S24,Passed,Government Employee Fair Treatment Act,On Motion to Suspend the Rules and Pass,
116,House,28,2019-01-11,1,29,411,1,0.0,0.0,0.0,0.0,0.0,HR221,Passed,Special Envoy to Monitor and Combat Anti-Semitism Act,On Motion to Suspend the Rules and Pass,
116,House,29,2019-01-14,1,30,403,2,0.0,0.0,0.0,0.0,0.0,HR116,Passed,Investing in Main Street Act,On Motion to Suspend the Rules and Pass,
116,House,30,2019-01-15,1,31,237,187,0.2,0.126,0.64,0.759,-9.689,HJRES27,Failed,"Making further continuing appropriations for fiscal year 2019, and for other purposes",On Motion to Suspend the Rules and Pass,
116,House,31,2019-01-15,1,32,424,1,0.0,0.0,0.0,0.0,0.0,HRES41,Passed,Rejecting White nationalism and White supremacy,On Motion to Suspend the Rules and Agree,
116,House,32,2019-01-15,1,33,424,0,0.0,0.0,0.0,0.0,0.0,HR135,Passed,Federal Employee Antidiscrimination Act,On Motion to Suspend the Rules and Pass,
116,House,33,2019-01-16,1,34,230,194,0.068,0.046,0.714,-0.083,-0.388,HRES43,Passed,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,
116,House,34,2019-01-16,1,35,230,193,0.068,0.046,0.714,-0.083,-0.388,HRES43,Passed,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,35,2019-01-16,1,36,415,6,0.0,0.0,0.0,0.0,0.0,HR190,Passed,Expanding Contracting Opportunities for Small Businesses Act,On Motion to Suspend the Rules and Pass,
116,House,36,2019-01-16,1,37,226,197,0.402,-0.607,0.418,1.044,-28.053,HR268,Agreed to,,On Agreeing to the Amendment,
116,House,37,2019-01-16,1,38,193,231,0.068,0.046,-0.714,0.083,-0.388,HR268,Failed,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,38,2019-01-16,1,39,237,187,0.196,0.14,0.639,0.764,-9.643,HR268,Passed,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,39,2019-01-17,1,40,230,190,0.069,0.044,0.714,-0.085,-0.389,HRES52,Passed,"Providing for consideration of the joint resolution (H.J. Res. 28) making further continuing appropriations for fiscal year 2019, and for other purposes, and providing for consideration of motions to suspend the rules",On Agreeing to the Resolution,
116,House,40,2019-01-17,1,41,422,0,0.0,0.0,0.0,0.0,0.0,HR150,Passed,Grant Reporting Efficiency and Agreements Transparency Act or GREAT Act,On Motion to Suspend the Rules and Pass,
116,House,41,2019-01-17,1,42,362,53,0.041,-0.999,0.114,-0.449,-109.202,HJRES30,Passed,Disapproving the President’s proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation,On Motion to Suspend the Rules and Pass,
116,House,42,2019-01-17,1,43,195,222,-0.067,0.956,-0.644,-0.013,-17.915,HJRES28,Failed,"Making further continuing appropriations for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,43,2019-01-22,1,44,357,22,0.205,-0.914,0.347,-1.489,-31.385,HR676,Passed,NATO Support Act,On Motion to Suspend the Rules and Pass,
116,House,44,2019-01-22,1,45,377,3,0.0,0.0,0.0,0.0,0.0,HR328,Passed,Hack Your State Department Act,On Motion to Suspend the Rules and Pass,
116,House,45,2019-01-23,1,46,229,184,0.157,0.988,0.425,0.039,-16.118,HJRES28,Passed,"Making further continuing appropriations for fiscal year 2019, and for other purposes",On Passage,
116,House,46,2019-01-23,1,47,223,190,0.128,-0.379,0.669,0.605,-5.883,HRES61,Passed,"Providing for consideration of the bill H.R. 648, and consideration of the joint resolution, H.J. Res. 31; providing for consideration of motions to suspend the rules; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,47,2019-01-23,1,48,200,215,-0.107,0.084,-0.709,-0.134,-18.814,HR648,Failed,"Consolidated Appropriations Act, 2019",On Motion to Recommit with Instructions,
116,House,48,2019-01-23,1,49,234,180,0.178,0.984,0.425,0.1,-23.234,HR648,Passed,"Consolidated Appropriations Act, 2019",On Passage,
116,House,49,2019-01-24,1,50,200,214,0.024,-1.0,-0.455,-0.268,-22.312,HJRES31,Failed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,50,2019-01-24,1,51,231,180,0.208,0.978,0.534,-0.117,-12.593,HJRES31,Passed,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Passage,
116,House,51,2019-01-28,1,52,413,3,0.0,0.0,0.0,0.0,0.0,HR624,Passed,Promoting Transparent Standards for Corporate Insiders Act,On Motion to Suspend the Rules and Pass,
