congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,14066,6,100.0
117,House,1,14854,6,100.0
117,House,1,14863,6,99.6
117,House,1,14873,1,100.0
117,House,1,15019,1,92.6
117,House,1,15029,1,100.0
117,House,1,15410,1,100.0
117,House,1,15433,1,100.0
117,House,1,15438,1,100.0
117,House,1,15446,6,100.0
117,House,1,15448,1,100.0
117,House,1,15454,1,100.0
117,House,1,15616,1,100.0
117,House,1,20104,1,100.0
117,House,1,20107,6,100.0
117,House,1,20119,1,100.0
117,House,1,20122,1,100.0
117,House,1,20124,6,100.0
117,House,1,20136,1,100.0
117,House,1,20138,6,100.0
117,House,1,20145,1,100.0
117,House,1,20301,6,100.0
117,House,1,20305,1,100.0
117,House,1,20307,6,100.0
117,House,1,20310,1,100.0
117,House,1,20316,6,100.0
117,House,1,20321,1,99.9
117,House,1,20322,1,97.4
117,House,1,20329,1,99.8
117,House,1,20340,1,100.0
117,House,1,20342,6,100.0
117,House,1,20343,1,100.0
117,House,1,20344,6,100.0
117,House,1,20355,6,100.0
117,House,1,20356,6,100.0
117,House,1,20501,1,91.0
117,House,1,20504,1,100.0
117,House,1,20517,1,100.0
117,House,1,20518,6,100.0
117,House,1,20519,1,100.0
117,House,1,20521,6,100.0
117,House,1,20522,6,100.0
117,House,1,20527,6,100.0
117,House,1,20529,1,100.0
117,House,1,20530,6,100.0
117,House,1,20533,1,94.6
117,House,1,20535,6,100.0
117,House,1,20537,1,100.0
117,House,1,20538,1,100.0
117,House,1,20542,1,100.0
117,House,1,20702,1,99.7
117,House,1,20703,6,100.0
117,House,1,20704,6,100.0
117,House,1,20705,1,99.8
117,House,1,20706,1,100.0
117,House,1,20708,1,100.0
117,House,1,20709,6,100.0
117,House,1,20712,1,100.0
117,House,1,20723,1,100.0
117,House,1,20724,1,100.0
117,House,1,20725,6,100.0
117,House,1,20729,6,100.0
117,House,1,20733,1,100.0
117,House,1,20738,6,100.0
117,House,1,20748,1,100.0
117,House,1,20749,1,99.2
117,House,1,20750,1,100.0
117,House,1,20755,6,100.0
117,House,1,20756,6,100.0
117,House,1,20757,1,100.0
117,House,1,20758,6,100.0
117,House,1,20759,6,100.0
117,House,1,20762,1,100.0
117,House,1,20902,1,92.8
117,House,1,20903,6,100.0
117,House,1,20907,1,99.5
117,House,1,20909,6,100.0
117,House,1,20916,6,100.0
117,House,1,20920,1,100.0
117,House,1,20926,6,100.0
117,House,1,20927,1,100.0
117,House,1,20934,1,100.0
117,House,1,20941,1,100.0
117,House,1,20944,1,95.1
117,House,1,20946,6,100.0
117,House,1,20952,1,99.9
117,House,1,20954,1,100.0
117,House,1,20955,1,100.0
117,House,1,20958,1,99.9
117,House,1,20959,1,100.0
117,House,1,21101,6,100.0
117,House,1,21102,1,100.0
117,House,1,21103,6,100.0
117,House,1,21105,6,100.0
117,House,1,21106,6,100.0
117,House,1,21108,6,100.0
117,House,1,21110,1,100.0
117,House,1,21116,6,100.0
117,House,1,21118,1,100.0
117,House,1,21123,6,100.0
117,House,1,21128,6,100.0
117,House,1,21132,6,100.0
117,House,1,21137,1,100.0
117,House,1,21139,6,100.0
117,House,1,21140,1,100.0
117,House,1,21142,6,100.0
117,House,1,21148,6,100.0
117,House,1,21149,6,100.0
117,House,1,21150,6,100.0
117,House,1,21162,6,100.0
117,House,1,21163,6,100.0
117,House,1,21165,6,100.0
117,House,1,21167,6,100.0
117,House,1,21172,1,100.0
117,House,1,21174,6,100.0
117,House,1,21178,6,100.0
117,House,1,21179,6,100.0
117,House,1,21187,6,100.0
117,House,1,21188,6,100.0
117,House,1,21191,6,100.0
117,House,1,21193,6,100.0
117,House,1,21196,6,100.0
117,House,1,21198,1,100.0
117,House,1,21302,6,100.0
117,House,1,21303,1,100.0
117,House,1,21304,1,98.9
117,House,1,21306,1,100.0
117,House,1,21307,9,100.0
117,House,1,21308,1,99.8
117,House,1,21309,1,100.0
117,House,1,21311,1,99.1
117,House,1,21312,1,100.0
117,House,1,21313,1,100.0
117,House,1,21314,1,100.0
117,House,1,21315,1,95.4
117,House,1,21321,1,100.0
117,House,1,21326,1,95.9
117,House,1,21328,6,100.0
117,House,1,21329,1,99.0
117,House,1,21330,6,100.0
117,House,1,21333,6,100.0
117,House,1,21337,6,100.0
117,House,1,21339,1,100.0
117,House,1,21340,1,99.6
117,House,1,21342,1,100.0
117,House,1,21343,1,100.0
117,House,1,21344,1,98.8
117,House,1,21346,6,100.0
117,House,1,21351,6,100.0
117,House,1,21352,1,100.0
117,House,1,21353,6,100.0
117,House,1,21355,6,100.0
117,House,1,21356,6,100.0
117,House,1,21358,1,100.0
117,House,1,21359,6,100.0
117,House,1,21360,6,100.0
117,House,1,21362,1,100.0
117,House,1,21364,6,100.0
117,House,1,21365,1,100.0
117,House,1,21366,1,99.8
117,House,1,21367,6,100.0
117,House,1,21368,1,99.9
117,House,1,21370,1,100.0
117,House,1,21371,1,100.0
117,House,1,21372,1,100.0
117,House,1,21373,6,100.0
117,House,1,21375,1,100.0
117,House,1,21500,6,100.0
117,House,1,21502,1,100.0
117,House,1,21503,6,100.0
117,House,1,21504,1,100.0
117,House,1,21506,1,99.8
117,House,1,21507,1,100.0
117,House,1,21508,1,100.0
117,House,1,21510,6,100.0
117,House,1,21513,6,100.0
117,House,1,21514,6,100.0
117,House,1,21515,6,100.0
117,House,1,21516,6,100.0
117,House,1,21519,6,100.0
117,House,1,21523,6,100.0
117,House,1,21525,1,99.9
117,House,1,21526,6,100.0
117,House,1,21529,1,100.0
117,House,1,21530,1,100.0
117,House,1,21531,6,100.0
117,House,1,21536,1,100.0
117,House,1,21538,1,100.0
117,House,1,21539,6,100.0
117,House,1,21540,1,99.8
117,House,1,21541,6,100.0
117,House,1,21542,6,99.9
117,House,1,21544,6,100.0
117,House,1,21545,1,100.0
117,House,1,21548,1,100.0
117,House,1,21551,6,100.0
117,House,1,21554,1,100.0
117,House,1,21556,6,100.0
117,House,1,21557,6,100.0
117,House,1,21559,6,100.0
117,House,1,21561,6,100.0
117,House,1,21562,6,100.0
117,House,1,21563,6,100.0
117,House,1,21564,6,100.0
117,House,1,21565,6,100.0
117,House,1,21566,1,100.0
117,House,1,21700,6,100.0
117,House,1,21701,6,100.0
117,House,1,21702,6,100.0
117,House,1,21703,1,100.0
117,House,1,21704,6,100.0
117,House,1,21705,6,100.0
117,House,1,21706,1,100.0
117,House,1,21707,1,100.0
117,House,1,21708,6,100.0
117,House,1,21709,1,99.9
117,House,1,21710,6,100.0
117,House,1,21711,1,99.5
117,House,1,21712,1,98.4
117,House,1,21713,1,100.0
117,House,1,21714,6,100.0
117,House,1,21715,1,100.0
117,House,1,21717,6,100.0
117,House,1,21718,6,99.6
117,House,1,21719,6,100.0
117,House,1,21720,6,100.0
117,House,1,21722,1,99.9
117,House,1,21723,1,84.2
117,House,1,21724,6,100.0
117,House,1,21725,6,100.0
117,House,1,21726,1,100.0
117,House,1,21727,6,100.0
117,House,1,21728,1,100.0
117,House,1,21730,1,100.0
117,House,1,21731,6,100.0
117,House,1,21732,1,99.4
117,House,1,21735,6,100.0
117,House,1,21736,1,100.0
117,House,1,21738,1,90.6
117,House,1,21739,1,95.1
117,House,1,21740,1,99.9
117,House,1,21741,1,100.0
117,House,1,21744,6,100.0
117,House,1,21745,6,100.0
117,House,1,21746,1,100.0
117,House,1,21747,1,97.7
117,House,1,21750,6,100.0
117,House,1,21753,6,100.0
117,House,1,21754,1,100.0
117,House,1,21755,6,100.0
117,House,1,21756,6,21.4
117,House,1,21757,6,100.0
117,House,1,21758,6,100.0
117,House,1,21759,6,100.0
117,House,1,21760,6,100.0
117,House,1,21761,1,100.0
117,House,1,21762,1,100.0
117,House,1,21763,1,99.9
117,House,1,21900,1,100.0
117,House,1,21901,6,100.0
117,House,1,21902,1,96.7
117,House,1,21903,6,100.0
117,House,1,21905,6,100.0
117,House,1,21906,1,100.0
117,House,1,21908,6,100.0
117,House,1,21910,1,99.2
117,House,1,21911,6,100.0
117,House,1,21912,1,99.3
117,House,1,21914,1,98.9
117,House,1,21915,1,100.0
117,House,1,21916,1,97.8
